sequence_index,true_label,reconstruction_error,predicted_anomaly
112,1,0.0049501983,0
113,1,0.0049376255,0
114,1,0.0049100965,0
115,1,0.0050615743,0
116,1,0.0048062946,0
117,1,0.0046880012,0
118,1,0.0046649957,0
119,1,0.004664383,0
120,1,0.004785679,0
121,1,0.004745382,0
122,1,0.004932784,0
123,1,0.0048172264,0
124,1,0.004864718,0
125,1,0.0047524306,0
126,1,0.0047482853,0
127,1,0.0047853724,0
128,1,0.004768214,0
129,1,0.0047850134,0
130,1,0.005034253,0
131,1,0.0049293865,0
132,1,0.0049913777,0
133,1,0.005232386,0
134,1,0.0052973973,0
135,1,0.0052107256,0
136,1,0.0052366517,0
137,1,0.0050819875,0
138,1,0.00481923,0
139,1,0.004790241,0
140,1,0.004732122,0
141,1,0.004695511,0
142,1,0.0047569866,0
143,1,0.004828599,0
144,1,0.0050854557,0
145,1,0.00529095,0
146,1,0.005230341,0
147,1,0.005503541,0
148,1,0.0056877555,0
149,1,0.0059008677,0
150,1,0.0062666745,0
151,1,0.0067153187,0
152,1,0.0073173596,0
153,1,0.007587429,0
154,1,0.008625831,0
155,1,0.009266224,0
156,1,0.009565514,0
157,1,0.010086098,0
158,1,0.010771228,0
159,1,0.011589301,0
160,1,0.012365594,1
161,1,0.013063974,1
162,1,0.013933019,1
163,0,0.012848828,1
164,0,0.011289431,0
165,0,0.011349583,0
166,0,0.009634596,0
167,0,0.009690683,0
168,0,0.008092543,0
169,0,0.0080190785,0
170,0,0.007992751,0
171,0,0.007903114,0
172,0,0.0059587173,0
173,0,0.003826544,0
174,0,0.0038493942,0
175,0,0.003932216,0
176,0,0.0039417474,0
177,0,0.003896282,0
178,0,0.0037879632,0
179,0,0.0038933426,0
180,0,0.0038252445,0
181,0,0.0038202086,0
182,0,0.003950759,0
183,0,0.0039537093,0
184,0,0.0039652498,0
185,0,0.0061531505,0
186,0,0.0060142274,0
187,0,0.0060389033,0
188,0,0.008123965,0
189,0,0.007971745,0
190,0,0.008051938,0
191,0,0.008036962,0
192,0,0.008070542,0
193,0,0.008081056,0
194,0,0.008109374,0
195,0,0.008145315,0
196,0,0.008179161,0
197,0,0.008140388,0
198,0,0.009766294,0
199,0,0.009675368,0
200,0,0.0097753005,0
201,0,0.009843122,0
202,0,0.00988779,0
203,0,0.009956292,0
204,0,0.009988974,0
205,0,0.009826444,0
206,0,0.009820799,0
207,0,0.011544923,0
208,0,0.013269509,1
209,0,0.013263855,1
210,0,0.013285472,1
211,0,0.01330479,1
212,0,0.013253624,1
213,0,0.013384781,1
214,0,0.013504528,1
215,0,0.011980721,0
216,0,0.011994963,0
217,0,0.012061041,0
218,0,0.012044907,0
219,0,0.012050404,0
220,0,0.012049966,0
221,0,0.013555718,1
222,0,0.013573484,1
223,0,0.0136188725,1
224,0,0.013502701,1
225,0,0.014898699,1
226,0,0.0149320755,1
227,0,0.0149986865,1
228,0,0.01360001,1
229,0,0.013774247,1
230,0,0.013628794,1
231,0,0.013601406,1
232,0,0.0135269,1
233,0,0.013485716,1
234,0,0.013369963,1
235,0,0.014910847,1
236,0,0.014969845,1
237,0,0.013583205,1
238,0,0.011858448,0
239,0,0.011826764,0
240,0,0.0118434,0
241,0,0.011861715,0
242,0,0.011835459,0
243,0,0.011621994,0
244,0,0.011604409,0
245,0,0.011474101,0
246,0,0.01139392,0
247,0,0.011431933,0
248,0,0.0097248545,0
249,0,0.009724736,0
250,0,0.009651539,0
251,0,0.007899531,0
252,0,0.007977391,0
253,0,0.0079657575,0
254,0,0.008011454,0
255,0,0.006050678,0
256,0,0.0059751426,0
257,0,0.005971409,0
258,0,0.0059262807,0
259,0,0.0058032116,0
260,0,0.0058860206,0
261,0,0.007913625,0
262,0,0.009789868,0
263,0,0.009776376,0
264,0,0.009720763,0
265,0,0.007941456,0
266,0,0.008054877,0
267,0,0.0100060105,0
268,0,0.010044368,0
269,0,0.010067548,0
270,0,0.009946724,0
271,0,0.009921552,0
272,0,0.009889346,0
273,0,0.0100225685,0
274,0,0.009919894,0
275,0,0.009933194,0
276,0,0.009927823,0
277,0,0.00989862,0
278,0,0.009994231,0
279,0,0.009887335,0
280,0,0.009943093,0
281,0,0.009908507,0
282,0,0.00983981,0
283,0,0.0097484095,0
284,0,0.009735604,0
285,0,0.009667888,0
286,0,0.009817678,0
287,0,0.011601066,0
288,0,0.011511845,0
289,0,0.011544378,0
290,0,0.011716856,0
291,0,0.009969962,0
292,0,0.008159387,0
293,0,0.008185797,0
294,0,0.008233149,0
295,0,0.008207227,0
296,0,0.00816801,0
297,0,0.0061482517,0
298,0,0.006159153,0
299,0,0.006073448,0
300,0,0.0060400823,0
301,0,0.006047374,0
302,0,0.0060782535,0
303,0,0.0060743606,0
304,0,0.006079751,0
305,0,0.0060825213,0
306,0,0.0061059347,0
307,0,0.0060707275,0
308,0,0.0059370943,0
309,0,0.00596762,0
310,0,0.005949084,0
311,0,0.00594814,0
312,0,0.005996262,0
313,0,0.0059863403,0
314,0,0.0058955303,0
315,0,0.005961937,0
316,0,0.005794154,0
317,0,0.0036953117,0
318,0,0.0037406269,0
319,0,0.0037966538,0
320,1,0.00376594,0
321,1,0.0037345362,0
322,1,0.0036662042,0
323,1,0.0036979215,0
324,1,0.0036718359,0
325,1,0.0057551893,0
326,1,0.005803346,0
327,1,0.0058988677,0
328,1,0.0060411403,0
329,1,0.0060506496,0
330,1,0.006086911,0
331,1,0.0062407437,0
332,1,0.006293081,0
333,1,0.0061908322,0
334,1,0.0061971243,0
335,1,0.0062914444,0
336,1,0.0065789716,0
337,1,0.006620117,0
338,1,0.0066547305,0
339,1,0.0066518304,0
340,1,0.006622193,0
341,1,0.0066439733,0
342,1,0.006701106,0
343,1,0.0067147757,0
344,1,0.0067626,0
345,1,0.0068661952,0
346,1,0.0068628555,0
347,1,0.0068191765,0
348,1,0.0069883047,0
349,1,0.0069584846,0
350,1,0.007165768,0
351,1,0.007219831,0
352,1,0.0072846278,0
353,1,0.0073987246,0
354,1,0.007394155,0
355,1,0.005222699,0
356,1,0.0052585863,0
357,1,0.005281547,0
358,1,0.0051254495,0
359,1,0.0052073756,0
360,1,0.005075781,0
361,1,0.0048527974,0
362,1,0.004816954,0
363,1,0.00479659,0
364,1,0.004730267,0
365,1,0.004621294,0
366,1,0.0045846472,0
367,1,0.0045686904,0
368,1,0.0046470775,0
369,1,0.004516177,0
370,1,0.004656094,0
371,1,0.0047491174,0
372,1,0.004688239,0
373,1,0.0045871586,0
374,1,0.0047230036,0
375,1,0.0046828776,0
376,1,0.004639406,0
377,1,0.0045482987,0
378,1,0.004416274,0
379,1,0.0043366356,0
380,1,0.0042776503,0
381,1,0.004444392,0
382,1,0.004745059,0
383,1,0.0046356604,0
384,1,0.004691047,0
385,1,0.0048926137,0
386,1,0.0047956007,0
387,1,0.005003031,0
388,1,0.0050302357,0
389,1,0.00497387,0
390,1,0.005161084,0
391,1,0.005274064,0
392,1,0.0055033728,0
393,1,0.0058410875,0
394,1,0.0061292066,0
395,1,0.0062977974,0
396,1,0.0062330216,0
397,1,0.0066489433,0
398,1,0.006832224,0
399,1,0.007127991,0
400,1,0.0072880234,0
401,1,0.0074239266,0
402,1,0.007923473,0
403,1,0.008211188,0
404,1,0.008974426,0
405,1,0.009060753,0
406,1,0.009398105,0
407,1,0.010125136,0
408,1,0.010508213,0
409,1,0.011208601,0
410,1,0.011781055,0
411,1,0.012204562,0
412,1,0.01261335,1
413,1,0.013078697,1
414,1,0.01389624,1
415,1,0.01456696,1
416,1,0.015618193,1
417,1,0.016416622,1
418,1,0.017377662,1
419,1,0.018213436,1
420,1,0.019262156,1
421,0,0.0038291477,0
422,0,0.0039229235,0
423,0,0.003881318,0
424,0,0.003833544,0
425,0,0.0038045316,0
426,0,0.0037554868,0
427,0,0.0037580545,0
428,0,0.0039615463,0
429,0,0.0040663593,0
430,0,0.004129372,0
431,0,0.004129844,0
432,0,0.004163121,0
433,0,0.0062753055,0
434,0,0.006189902,0
435,0,0.00619316,0
436,0,0.00618165,0
437,0,0.0061678565,0
438,0,0.0060753417,0
439,0,0.006053329,0
440,0,0.0060231285,0
441,0,0.0059673768,0
442,0,0.0060097515,0
443,0,0.006050274,0
444,0,0.0060580773,0
445,0,0.006024676,0
446,0,0.006011549,0
447,0,0.0060015814,0
448,0,0.006016919,0
449,0,0.0059174215,0
450,0,0.0059438273,0
451,0,0.006269433,0
452,0,0.006216994,0
453,0,0.006215541,0
454,0,0.0061751623,0
455,0,0.0061763464,0
456,0,0.0063050305,0
457,0,0.0062556555,0
458,0,0.0060099377,0
459,0,0.005926894,0
460,0,0.0058901045,0
461,0,0.00587239,0
462,0,0.0058832425,0
463,0,0.0038142635,0
464,0,0.006015874,0
465,0,0.0060150414,0
466,0,0.0059573012,0
467,0,0.005935974,0
468,0,0.0060943253,0
469,0,0.0062109306,0
470,1,0.006260432,0
471,1,0.006484119,0
472,1,0.0065811547,0
473,1,0.006500002,0
474,1,0.00656745,0
475,1,0.0065753795,0
476,1,0.006682463,0
477,1,0.0065920395,0
478,1,0.0066027567,0
479,1,0.0066098864,0
480,1,0.0065637734,0
481,1,0.0065291007,0
482,1,0.006487407,0
483,1,0.006562767,0
484,1,0.006822849,0
485,1,0.008828845,0
486,1,0.008687858,0
487,1,0.008703341,0
488,1,0.008802938,0
489,1,0.008726063,0
490,1,0.008620646,0
491,1,0.008676781,0
492,1,0.008602518,0
493,1,0.008560936,0
494,1,0.006449563,0
495,1,0.0064352984,0
496,1,0.006445446,0
497,1,0.0063875485,0
498,1,0.0062344265,0
499,1,0.00622334,0
500,1,0.008207383,0
501,1,0.008055701,0
502,1,0.008000918,0
503,1,0.008038963,0
504,1,0.007948198,0
505,1,0.007911211,0
506,1,0.007841185,0
507,1,0.007868195,0
508,1,0.007914844,0
509,1,0.007967185,0
510,1,0.007935976,0
511,1,0.007815049,0
512,1,0.007831794,0
513,1,0.007816531,0
514,1,0.007719682,0
515,1,0.005783769,0
516,1,0.0059342496,0
517,1,0.0059933453,0
518,1,0.005975237,0
519,1,0.006082839,0
520,1,0.006257139,0
521,1,0.0061440202,0
522,1,0.0061091133,0
523,1,0.006138133,0
524,1,0.006075911,0
525,1,0.0061414065,0
526,1,0.0060215173,0
527,1,0.006133237,0
528,1,0.0061906734,0
529,1,0.006155362,0
530,1,0.004176157,0
531,1,0.004239633,0
532,1,0.004319426,0
533,1,0.0044431402,0
534,1,0.0044592894,0
535,1,0.0045906915,0
536,1,0.0045106597,0
537,1,0.004717069,0
538,1,0.0048856176,0
539,1,0.0048907446,0
540,1,0.004943083,0
541,1,0.00502069,0
542,1,0.005132634,0
543,1,0.0053231926,0
544,1,0.0053130286,0
545,1,0.0053250613,0
546,1,0.005281354,0
547,1,0.00544718,0
548,1,0.005750967,0
549,1,0.0059884507,0
550,1,0.005986298,0
551,1,0.006081821,0
552,1,0.006482283,0
553,1,0.0067957807,0
554,1,0.007026429,0
555,1,0.0073757055,0
556,1,0.007812023,0
557,1,0.00821524,0
558,1,0.008923855,0
559,1,0.009491001,0
560,1,0.01019677,0
561,1,0.011144905,0
562,1,0.0119057065,0
563,1,0.0125458725,1
564,1,0.0135431485,1
565,1,0.014616515,1
566,1,0.01595858,1
567,1,0.017354004,1
568,1,0.01877044,1
569,1,0.021034071,1
570,1,0.023156956,1
571,0,0.0038685324,0
572,0,0.0038983105,0
573,0,0.0038702663,0
574,0,0.0038757643,0
575,0,0.0038481697,0
576,0,0.003725272,0
577,0,0.0037854805,0
578,0,0.003923267,0
579,0,0.003929162,0
580,0,0.0040041306,0
581,0,0.004153237,0
582,0,0.004094192,0
583,0,0.0043072132,0
584,0,0.0043226504,0
585,0,0.004445798,0
586,0,0.004380365,0
587,0,0.006701829,0
588,0,0.006784446,0
589,0,0.006812351,0
590,0,0.0067317975,0
591,0,0.006892549,0
592,0,0.0069158566,0
593,0,0.0066654007,0
594,0,0.006564094,0
595,0,0.0064877803,0
596,0,0.0064355684,0
597,0,0.0065823756,0
598,0,0.0065644323,0
599,0,0.00644201,0
600,0,0.006783399,0
601,0,0.006850269,0
602,0,0.0068119136,0
603,0,0.006800261,0
604,0,0.006777114,0
605,0,0.0067666336,0
606,0,0.0069278344,0
607,0,0.006905982,0
608,0,0.006861616,0
609,0,0.0069086966,0
610,0,0.0068196235,0
611,0,0.006632077,0
612,0,0.00651901,0
613,0,0.0063228095,0
614,0,0.0064880904,0
615,0,0.006405178,0
616,0,0.0064481017,0
617,0,0.0041942867,0
618,0,0.0041731047,0
619,0,0.0041439096,0
620,0,0.004180455,0
621,0,0.0040849834,0
622,0,0.004070133,0
623,0,0.004017822,0
624,0,0.003950657,0
625,0,0.003976592,0
626,0,0.0040318267,0
627,0,0.0039046982,0
628,0,0.0038491928,0
629,0,0.003992245,0
630,1,0.0039140694,0
631,1,0.0039550364,0
632,1,0.0040519643,0
633,1,0.0039975764,0
634,1,0.0040826937,0
635,1,0.004051008,0
636,1,0.003960968,0
637,1,0.003986435,0
638,1,0.003966593,0
639,1,0.0039688773,0
640,1,0.00411429,0
641,1,0.004106489,0
642,1,0.004110956,0
643,1,0.0040943455,0
644,1,0.0040271366,0
645,1,0.004043137,0
646,1,0.0040163477,0
647,1,0.0039382754,0
648,1,0.0038387023,0
649,1,0.0038943153,0
650,1,0.003855789,0
651,1,0.003819495,0
652,1,0.0038473883,0
653,1,0.003970485,0
654,1,0.0040970864,0
655,1,0.00404199,0
656,1,0.004092528,0
657,1,0.004088556,0
658,1,0.0042639067,0
659,1,0.004181669,0
660,1,0.0041149813,0
661,1,0.0040661925,0
662,1,0.004117405,0
663,1,0.0041868994,0
664,1,0.0040714815,0
665,1,0.00413822,0
666,1,0.004242317,0
667,1,0.004166969,0
668,1,0.0042587,0
669,1,0.0044333097,0
670,1,0.0042638043,0
671,1,0.004310217,0
672,1,0.004392525,0
673,1,0.004456961,0
674,1,0.004442128,0
675,1,0.0043547787,0
676,1,0.0044964696,0
677,1,0.00460651,0
678,1,0.004657302,0
679,1,0.004623454,0
680,1,0.0046212487,0
681,1,0.004501116,0
682,1,0.0044392236,0
683,1,0.004398258,0
684,1,0.0043199616,0
685,1,0.0043401667,0
686,1,0.0042492403,0
687,1,0.004426804,0
688,1,0.0043648076,0
689,1,0.004316949,0
690,1,0.0043483158,0
691,1,0.004400167,0
692,1,0.0043946467,0
693,1,0.004383492,0
694,1,0.0044467165,0
695,1,0.0044653593,0
696,1,0.0043521016,0
697,1,0.0043562753,0
698,1,0.0043342332,0
699,1,0.0042503793,0
700,1,0.0043045357,0
701,1,0.0043334994,0
702,1,0.0045424523,0
703,1,0.0048105675,0
704,1,0.0051196446,0
705,1,0.005378331,0
706,1,0.005444109,0
707,1,0.00554552,0
708,1,0.0056372806,0
709,1,0.0057076137,0
710,1,0.0061112638,0
711,1,0.006431252,0
712,1,0.006807918,0
713,1,0.007123349,0
714,1,0.007467575,0
715,1,0.007902518,0
716,1,0.008396081,0
717,1,0.008818269,0
718,1,0.009511462,0
719,1,0.010432973,0
720,1,0.011471336,0
721,1,0.012786493,1
722,1,0.013540841,1
723,1,0.014677893,1
724,1,0.016712515,1
725,1,0.018038867,1
726,1,0.01947213,1
727,1,0.020941745,1
728,1,0.022730213,1
729,1,0.02460455,1
730,1,0.027196351,1
731,0,0.015954234,1
732,0,0.015992504,1
733,0,0.015918287,1
734,0,0.01588416,1
735,0,0.016950231,1
736,0,0.016932553,1
737,0,0.01708419,1
738,0,0.015653396,1
739,0,0.015608669,1
740,0,0.015749557,1
741,0,0.014509629,1
742,0,0.015940329,1
743,0,0.014654601,1
744,0,0.014625531,1
745,0,0.0146236755,1
746,0,0.014663563,1
747,0,0.014632876,1
748,0,0.015888145,1
749,0,0.015989311,1
750,0,0.015909398,1
751,0,0.016083913,1
752,0,0.014865264,1
753,0,0.01637465,1
754,0,0.01503709,1
755,0,0.014940588,1
756,0,0.014910613,1
757,0,0.014838684,1
758,0,0.013403001,1
759,0,0.013348961,1
760,0,0.014747317,1
761,0,0.013226252,1
762,0,0.013149984,1
763,0,0.013149504,1
764,0,0.013183816,1
765,0,0.011546959,0
766,0,0.011695182,0
767,0,0.011593068,0
768,0,0.0117218485,0
769,0,0.013375423,1
770,0,0.01335327,1
771,0,0.013354874,1
772,0,0.013396456,1
773,0,0.013277027,1
774,0,0.013342214,1
775,0,0.013421258,1
776,0,0.013539344,1
777,0,0.013630762,1
778,0,0.012213871,0
779,0,0.01221471,0
780,0,0.012165614,0
781,0,0.012058269,0
782,0,0.012016682,0
783,0,0.010300395,0
784,0,0.010239836,0
785,0,0.010216075,0
786,0,0.010377405,0
787,0,0.012059688,0
788,0,0.013570922,1
789,0,0.013683845,1
790,0,0.012190973,0
791,0,0.012067238,0
792,0,0.012058996,0
793,0,0.0120045105,0
794,0,0.012036036,0
795,0,0.012038864,0
796,0,0.0118462015,0
797,0,0.011866338,0
798,0,0.01186269,0
799,0,0.010128232,0
800,0,0.010070613,0
801,0,0.011803266,0
802,0,0.010238762,0
803,0,0.010347069,0
804,0,0.01038718,0
805,0,0.010247852,0
806,0,0.010048312,0
807,0,0.010017141,0
808,0,0.010029662,0
809,0,0.009943515,0
810,0,0.010052743,0
811,0,0.010127265,0
812,0,0.010145907,0
813,0,0.0100748,0
814,0,0.010002151,0
815,0,0.009983245,0
816,0,0.010060732,0
817,0,0.008333554,0
818,0,0.0064790905,0
819,0,0.0064091696,0
820,0,0.0063666725,0
821,0,0.006375823,0
822,0,0.0064432505,0
823,0,0.0064976,0
824,0,0.0066450257,0
825,0,0.0066867657,0
826,0,0.006772525,0
827,0,0.0067860605,0
828,0,0.006819589,0
829,0,0.0069198473,0
830,0,0.0068959403,0
831,0,0.0048759477,0
832,0,0.004779073,0
833,0,0.004713354,0
834,0,0.0046667336,0
835,0,0.004749814,0
836,0,0.004714972,0
837,0,0.004827606,0
838,0,0.0047401655,0
839,0,0.0046835924,0
840,0,0.004619739,0
841,0,0.0046816003,0
842,0,0.0048644817,0
843,0,0.0047801635,0
844,0,0.0049011167,0
845,0,0.004893603,0
846,0,0.00470377,0
847,0,0.0046750484,0
848,0,0.0047324076,0
849,0,0.004780899,0
850,0,0.004752155,0
851,0,0.004807276,0
852,0,0.004709721,0
853,0,0.0047305645,0
854,0,0.004582832,0
855,0,0.0046716263,0
856,0,0.0047110324,0
857,0,0.004691987,0
858,0,0.0045944015,0
859,0,0.004599406,0
860,0,0.0046054344,0
861,0,0.0046622003,0
862,0,0.0045995237,0
863,0,0.004544676,0
864,0,0.00460172,0
865,0,0.0044829464,0
866,0,0.004518347,0
867,0,0.0042896555,0
868,0,0.004220495,0
869,0,0.0042572236,0
870,1,0.0043131444,0
871,1,0.004383685,0
872,1,0.0041992585,0
873,1,0.004332126,0
874,1,0.0043155868,0
875,1,0.004298749,0
876,1,0.0043744068,0
877,1,0.0043470627,0
878,1,0.0041834405,0
879,1,0.004050388,0
880,1,0.0040472024,0
881,1,0.0040439,0
882,1,0.0062986603,0
883,1,0.0062480574,0
884,1,0.006324719,0
885,1,0.0061920867,0
886,1,0.006076227,0
887,1,0.0060805045,0
888,1,0.0061691203,0
889,1,0.006082394,0
890,1,0.006239816,0
891,1,0.0062201815,0
892,1,0.0062864167,0
893,1,0.0063348273,0
894,1,0.006397366,0
895,1,0.0063838474,0
896,1,0.0065836534,0
897,1,0.006738927,0
898,1,0.0067249998,0
899,1,0.006627188,0
900,1,0.0068161893,0
901,1,0.0067436886,0
902,1,0.006742485,0
903,1,0.0066557336,0
904,1,0.0065986663,0
905,1,0.006651485,0
906,1,0.0066652372,0
907,1,0.0066266167,0
908,1,0.006636804,0
909,1,0.0067609726,0
910,1,0.0068330523,0
911,1,0.006916222,0
912,1,0.0047721216,0
913,1,0.0049842307,0
914,1,0.0049079796,0
915,1,0.0049442207,0
916,1,0.005109767,0
917,1,0.005120722,0
918,1,0.005168433,0
919,1,0.0053112213,0
920,1,0.0052457857,0
921,1,0.0051947488,0
922,1,0.0051263836,0
923,1,0.005185838,0
924,1,0.005313516,0
925,1,0.005403414,0
926,1,0.005445849,0
927,1,0.005316196,0
928,1,0.0054090903,0
929,1,0.0055381297,0
930,1,0.0054544574,0
931,1,0.0054818993,0
932,1,0.0055872663,0
933,1,0.005777771,0
934,1,0.0059798276,0
935,1,0.006067735,0
936,1,0.0060517,0
937,1,0.0061997334,0
938,1,0.0064576203,0
939,1,0.006472502,0
940,1,0.006539256,0
941,1,0.006625197,0
942,1,0.0068057147,0
943,1,0.007067528,0
944,1,0.0074096853,0
945,1,0.0078011113,0
946,1,0.007893874,0
947,1,0.008216717,0
948,1,0.008623873,0
949,1,0.008856266,0
950,1,0.009352363,0
951,1,0.009882599,0
952,1,0.010275731,0
953,1,0.010667424,0
954,1,0.011185343,0
955,1,0.011881669,0
956,1,0.0124631375,1
957,1,0.013327856,1
958,1,0.014064099,1
959,1,0.014783817,1
960,1,0.016094385,1
961,1,0.01664311,1
962,1,0.017213384,1
963,1,0.017654276,1
964,1,0.018623848,1
965,1,0.019868203,1
966,1,0.021151038,1
967,1,0.022635045,1
968,1,0.023885963,1
969,1,0.025214154,1
970,1,0.026665077,1
971,0,0.004134746,0
972,0,0.0041429005,0
973,0,0.0041552912,0
974,0,0.0041696336,0
975,0,0.004180066,0
976,0,0.004252667,0
977,0,0.0041704355,0
978,0,0.0041263564,0
979,0,0.0040303795,0
980,0,0.003940074,0
981,0,0.0038816193,0
982,0,0.0038900152,0
983,0,0.0039166943,0
984,0,0.003921544,0
985,0,0.003946504,0
986,0,0.003892176,0
987,0,0.004066407,0
988,0,0.004140553,0
989,0,0.003980537,0
990,0,0.0040483726,0
991,0,0.0041017137,0
992,0,0.00412781,0
993,0,0.004141612,0
994,0,0.004079778,0
995,0,0.004137384,0
996,0,0.004150369,0
997,0,0.0040117926,0
998,0,0.0039720414,0
999,0,0.004071819,0
1000,0,0.00390233,0
1001,0,0.0037841643,0
1002,0,0.003919442,0
1003,0,0.003820471,0
1004,0,0.0039003924,0
1005,0,0.003819471,0
1006,0,0.0036964947,0
1007,0,0.0037025348,0
1008,0,0.0037042312,0
1009,0,0.0037413079,0
1010,0,0.0036130708,0
1011,0,0.0036977509,0
1012,0,0.003613189,0
1013,0,0.003470557,0
1014,0,0.0035382495,0
1015,0,0.003499944,0
1016,0,0.0037721277,0
1017,0,0.0037716369,0
1018,0,0.0039007522,0
1019,0,0.004017082,0
1020,0,0.0039689452,0
1021,0,0.0039679217,0
1022,0,0.003979128,0
1023,0,0.00401553,0
1024,0,0.0040989094,0
1025,0,0.004140002,0
1026,0,0.0043636165,0
1027,0,0.004404565,0
1028,0,0.0043999837,0
1029,1,0.0044904063,0
1030,1,0.004594861,0
1031,1,0.004566161,0
1032,1,0.004596881,0
1033,1,0.004625586,0
1034,1,0.004516735,0
1035,1,0.0045132437,0
1036,1,0.004583093,0
1037,1,0.0046393066,0
1038,1,0.004610933,0
1039,1,0.0047020586,0
1040,1,0.004822853,0
1041,1,0.004684296,0
1042,1,0.0047173225,0
1043,1,0.0047382945,0
1044,1,0.0046944926,0
1045,1,0.004679036,0
1046,1,0.004609618,0
1047,1,0.004399629,0
1048,1,0.0041154465,0
1049,1,0.004073518,0
1050,1,0.00399347,0
1051,1,0.0040392843,0
1052,1,0.0040078587,0
1053,1,0.0040461053,0
1054,1,0.0040423865,0
1055,1,0.0040102047,0
1056,1,0.0039012535,0
1057,1,0.0038961365,0
1058,1,0.003998789,0
1059,1,0.003944747,0
1060,1,0.0040519736,0
1061,1,0.004053178,0
1062,1,0.0039085136,0
1063,1,0.0039325356,0
1064,1,0.0039636064,0
1065,1,0.0039941613,0
1066,1,0.00396422,0
1067,1,0.004227514,0
1068,1,0.004450511,0
1069,1,0.004456318,0
1070,1,0.0044542593,0
1071,1,0.0045962273,0
1072,1,0.004603705,0
1073,1,0.004564355,0
1074,1,0.004519648,0
1075,1,0.004564455,0
1076,1,0.0043240115,0
1077,1,0.004287864,0
1078,1,0.0043593664,0
1079,1,0.0043353974,0
1080,1,0.0044381833,0
1081,1,0.004526418,0
1082,1,0.0045058243,0
1083,1,0.0045770616,0
1084,1,0.0046085124,0
1085,1,0.0047473903,0
1086,1,0.004720937,0
1087,1,0.004819443,0
1088,1,0.004836464,0
1089,1,0.0049762297,0
1090,1,0.0049976716,0
1091,1,0.0051163514,0
1092,1,0.0051954663,0
1093,1,0.005270398,0
1094,1,0.00530468,0
1095,1,0.0053629363,0
1096,1,0.005553586,0
1097,1,0.0055423733,0
1098,1,0.0055777063,0
1099,1,0.00564952,0
1100,1,0.0056421557,0
1101,1,0.005897212,0
1102,1,0.0060794293,0
1103,1,0.0061677233,0
1104,1,0.006456859,0
1105,1,0.006702477,0
1106,1,0.0072510075,0
1107,1,0.0077738594,0
1108,1,0.008103495,0
1109,1,0.008391612,0
1110,1,0.0087292,0
1111,1,0.009142984,0
1112,1,0.009698704,0
